"Date","Time","Open","High","Low","Close","Up","Down","UpperBand","LowerBand","MidLine"
02/24/2020,16:30,74.32,76.05,72.31,75.06,27082620,35052124,0.00,0.00,0.00
02/24/2020,17:30,75.05,75.34,74.60,75.11,10850868,11170852,0.00,0.00,0.00
02/24/2020,18:30,75.11,75.16,74.50,74.79,7363116,7891960,0.00,0.00,0.00
02/24/2020,19:30,74.79,75.25,74.67,74.96,5820124,5907736,0.00,0.00,0.00
02/24/2020,20:30,74.96,75.23,74.78,75.17,5155464,5524588,0.00,0.00,0.00
02/24/2020,21:30,75.18,75.82,75.08,75.14,8443128,8196924,0.00,0.00,0.00
02/24/2020,22:00,75.16,75.24,74.52,74.54,7459320,8751088,0.00,0.00,0.00
02/25/2020,16:30,75.25,75.63,74.32,74.42,13676680,17802668,0.00,0.00,0.00
02/25/2020,17:30,74.42,74.58,72.59,73.07,16499928,17719780,0.00,0.00,0.00
02/25/2020,18:30,73.06,74.15,72.86,73.55,9529408,9569980,0.00,0.00,0.00
02/25/2020,19:30,73.55,73.97,73.31,73.59,7031092,7594220,0.00,0.00,0.00
02/25/2020,20:30,73.59,73.59,72.42,72.42,9496028,10934436,0.00,0.00,0.00
02/25/2020,21:30,72.42,73.12,72.08,72.16,12871032,13384180,0.00,0.00,0.00
02/25/2020,22:00,72.15,72.38,71.53,72.03,11127412,12150544,0.00,0.00,0.00
02/26/2020,16:30,71.67,73.95,71.63,73.70,20157352,23673416,0.00,0.00,0.00
02/26/2020,17:30,73.71,74.47,73.68,74.39,12131532,12699428,0.00,0.00,0.00
02/26/2020,18:30,74.38,74.38,72.58,73.21,10840096,11119840,0.00,0.00,0.00
02/26/2020,19:30,73.22,73.71,73.22,73.56,7199060,7173052,0.00,0.00,0.00
02/26/2020,20:30,73.55,73.57,72.31,73.02,9769712,10282868,0.00,0.00,0.00
02/26/2020,21:30,73.02,73.53,72.78,73.21,6921944,7511324,0.00,0.00,0.00
02/26/2020,22:00,73.21,73.35,73.03,73.17,5329516,5295024,75.71,71.81,73.76
02/27/2020,16:30,70.28,71.50,68.94,69.28,28558860,32437352,76.14,70.80,73.47
02/27/2020,17:30,69.26,71.12,68.44,70.20,23521056,24526016,76.19,70.29,73.24
02/27/2020,18:30,70.22,71.15,69.51,70.70,14595708,15076844,76.06,69.99,73.03
02/27/2020,19:30,70.70,71.41,70.29,70.31,11193372,11357872,75.87,69.69,72.78
02/27/2020,20:30,70.31,70.83,69.66,70.20,11484840,12036516,75.62,69.45,72.54
02/27/2020,21:30,70.19,70.20,69.27,69.44,10608248,10853668,75.50,69.06,72.28
02/27/2020,22:00,69.44,69.51,68.24,68.27,11860348,14269040,75.48,68.47,71.97
02/28/2020,16:30,64.32,66.31,64.09,65.24,43712240,51303536,76.11,67.05,71.58
02/28/2020,17:30,65.21,67.41,65.16,67.40,24624384,23447456,76.06,66.49,71.28
02/28/2020,18:30,67.40,69.60,66.76,68.08,22869336,23026624,75.85,66.15,71.00
02/28/2020,19:30,68.07,68.80,67.51,67.58,13816612,14518300,75.78,65.73,70.76
02/28/2020,20:30,67.58,67.59,65.92,66.75,12610428,13995264,75.76,65.22,70.49
02/28/2020,21:30,66.74,68.12,66.58,66.67,16707348,18591324,75.69,64.75,70.22
02/28/2020,22:00,66.68,68.66,66.42,68.66,13208968,13527292,75.23,64.70,69.97
03/02/2020,16:30,70.57,71.06,69.43,70.32,26526788,32294064,74.63,64.90,69.76
03/02/2020,17:30,70.33,72.54,69.99,72.41,24513908,24736572,74.49,64.96,69.72
03/02/2020,18:30,72.42,73.39,72.26,72.49,20805220,22024372,74.28,65.06,69.67
03/02/2020,19:30,72.49,73.19,71.95,72.11,12110380,13527744,74.12,65.13,69.62
03/02/2020,20:30,72.11,72.98,71.88,72.58,10334652,10956120,73.99,65.19,69.59
03/02/2020,21:30,72.57,73.07,71.72,72.91,13349036,13368484,73.94,65.22,69.58
03/02/2020,22:00,72.93,74.74,72.77,74.71,16161488,14623560,74.75,64.96,69.85
03/03/2020,16:30,75.92,76.00,73.07,74.92,42204996,38482028,75.46,64.72,70.09
03/03/2020,17:30,74.91,75.24,72.77,73.01,17592232,18368644,75.72,64.69,70.20
03/03/2020,18:30,72.98,74.37,72.90,73.46,11782636,12200040,76.06,64.66,70.36
03/03/2020,19:30,73.47,73.90,72.38,72.85,8667204,9745296,76.29,64.69,70.49
03/03/2020,20:30,72.84,73.06,71.45,71.98,13422308,14584756,76.43,64.81,70.62
03/03/2020,21:30,71.98,73.36,71.74,73.26,15358692,15331168,76.68,65.05,70.87
03/03/2020,22:00,73.25,73.25,71.96,72.33,11006004,11681024,76.46,65.99,71.22
03/04/2020,16:30,74.13,74.62,73.28,74.26,23639744,21517236,76.65,66.48,71.57
03/04/2020,17:30,74.27,74.32,73.59,74.30,9840360,10520228,76.83,66.93,71.88
03/04/2020,18:30,74.30,74.36,73.63,74.19,6816544,7417508,76.84,67.58,72.21
03/04/2020,19:30,74.19,75.19,73.92,74.96,11227516,9835788,76.66,68.58,72.62
03/04/2020,20:30,74.96,75.04,74.46,74.94,9226912,9357608,76.14,69.93,73.03
03/04/2020,21:30,74.95,75.12,74.54,75.12,9345320,9164216,75.86,70.85,73.36
03/04/2020,22:00,75.12,75.77,74.71,75.74,14108324,12999252,75.93,71.33,73.63
03/05/2020,16:30,73.90,74.68,73.58,74.43,15860524,17864428,75.98,71.47,73.73
03/05/2020,17:30,74.44,74.89,74.21,74.74,9683900,9642120,76.06,71.62,73.84
03/05/2020,18:30,74.73,74.84,74.07,74.19,6408716,7294868,76.02,71.87,73.94
03/05/2020,19:30,74.19,74.34,73.31,73.93,8607076,10427732,75.99,72.03,74.01
03/05/2020,20:30,73.93,74.21,73.45,73.53,6821020,7825368,75.97,72.11,74.04
03/05/2020,21:30,73.54,73.95,72.96,73.11,8624044,9881300,75.91,72.02,73.96
03/05/2020,22:00,73.12,73.73,72.85,73.23,10127796,10814764,75.79,71.96,73.88
03/06/2020,16:30,70.48,72.09,70.31,72.03,22916100,21548556,75.88,71.78,73.83
03/06/2020,17:30,72.03,72.51,71.28,71.53,11695060,12952796,76.01,71.45,73.73
03/06/2020,18:30,71.51,71.86,70.90,71.19,8142196,9154844,76.16,71.14,73.65
03/06/2020,19:30,71.19,72.06,71.13,71.83,7993124,8048968,76.17,71.11,73.64
03/06/2020,20:30,71.80,71.94,70.97,71.20,6972188,7878948,76.28,70.80,73.54
03/06/2020,21:30,71.22,71.30,70.40,70.92,11258088,12955940,76.40,70.54,73.47
03/06/2020,22:00,70.90,72.71,70.76,72.25,12942540,12939216,76.32,70.42,73.37
03/09/2020,16:30,65.90,69.35,65.75,68.58,23699528,23176408,76.66,69.50,73.08
03/09/2020,17:30,68.58,68.84,67.51,68.25,15570476,16106720,76.89,68.68,72.79
03/09/2020,18:30,68.24,69.52,67.88,68.58,14131664,13587132,76.83,68.10,72.47
03/09/2020,19:30,68.58,69.09,68.28,68.35,10404836,10374164,76.70,67.58,72.14
03/09/2020,20:30,68.36,68.36,67.00,67.30,10788404,12000144,76.55,66.94,71.75
03/09/2020,21:30,67.27,68.38,66.98,68.04,15536400,15452824,76.05,66.67,71.36
03/09/2020,22:00,68.03,68.45,66.50,66.52,12089492,13876852,75.89,66.04,70.96
03/10/2020,16:30,69.28,70.46,68.73,69.90,21883016,25721140,75.34,66.10,70.72
03/10/2020,17:30,69.90,70.06,67.79,68.06,16938212,19004080,74.89,65.95,70.42
03/10/2020,18:30,68.06,69.59,67.34,68.72,17253900,17937648,74.38,65.93,70.16
03/10/2020,19:30,68.72,69.57,68.42,69.09,10102640,10807436,73.88,65.99,69.93
03/10/2020,20:30,69.08,69.42,68.08,68.78,8465344,9588072,73.41,66.02,69.72
03/10/2020,21:30,68.78,70.37,68.71,69.67,14727276,13492400,72.86,66.22,69.54
03/10/2020,22:00,69.65,71.44,69.48,71.42,13609988,12227952,72.75,66.27,69.51
03/11/2020,16:30,69.36,69.84,68.69,68.88,18667388,19281440,72.49,66.26,69.38
03/11/2020,17:30,68.89,69.31,68.75,69.03,11409168,12013652,72.27,66.27,69.27
03/11/2020,18:30,69.03,70.31,68.92,69.59,13202004,12745492,71.93,66.39,69.16
03/11/2020,19:30,69.59,69.71,68.61,69.21,11320876,12881732,71.67,66.45,69.06
03/11/2020,20:30,69.22,69.27,68.53,68.74,9319740,9773208,71.41,66.48,68.95
03/11/2020,21:30,68.75,69.49,68.05,68.59,15405452,16212448,70.71,66.82,68.76
03/11/2020,22:00,68.59,69.58,68.46,68.83,14194636,14174816,70.72,66.83,68.78
03/12/2020,16:30,64.01,65.50,62.60,64.94,30305984,32698800,71.17,66.05,68.61
03/12/2020,17:30,64.95,65.60,63.66,63.72,17956980,20630172,71.70,65.03,68.37
03/12/2020,18:30,63.73,64.07,62.38,63.08,18117240,22397524,72.16,64.05,68.11
03/12/2020,19:30,63.08,67.50,62.70,65.56,28135252,26718372,72.21,63.83,68.02
