"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,47.47,48.23,46.90,47.03,13847603,0,0.00,0.00,0.00
02/23/2011,22:00,47.37,47.95,47.33,47.58,9942078,0,0.00,0.00,0.00
02/24/2011,22:00,48.03,48.22,47.37,47.38,8993561,0,0.00,0.00,0.00
02/25/2011,22:00,47.56,48.15,47.45,48.10,5582800,0,0.00,0.00,0.00
02/28/2011,22:00,48.59,48.66,48.20,48.47,5389314,0,0.00,0.00,0.00
03/01/2011,22:00,48.35,48.62,47.50,47.60,7879569,0,0.00,0.00,0.00
03/02/2011,22:00,47.65,48.03,47.46,47.74,7864186,0,0.00,0.00,0.00
03/03/2011,22:00,47.99,48.24,47.80,48.21,6077001,0,0.00,0.00,0.00
03/04/2011,22:00,48.34,48.62,47.88,48.56,7958325,0,0.00,0.00,0.00
03/07/2011,22:00,49.03,49.09,48.11,48.15,7991320,0,0.00,0.00,0.00
03/08/2011,22:00,47.75,48.00,47.45,47.81,6513282,0,0.00,0.00,0.00
03/09/2011,22:00,47.47,47.56,47.18,47.41,5075622,0,0.00,0.00,0.00
03/10/2011,22:00,46.49,46.50,45.65,45.66,10101936,0,0.00,0.00,0.00
03/11/2011,22:00,45.02,45.94,45.02,45.75,13837003,0,0.00,0.00,0.00
03/14/2011,22:00,45.17,45.31,44.50,45.07,9279713,0,0.00,0.00,0.00
03/15/2011,22:00,42.59,44.07,42.50,43.77,14549928,0,0.00,0.00,0.00
03/16/2011,22:00,43.87,44.33,42.79,43.25,11911752,0,0.00,0.00,0.00
03/17/2011,22:00,44.37,44.91,44.05,44.68,8813886,0,0.00,0.00,0.00
03/18/2011,22:00,45.34,45.45,45.00,45.11,8677858,0,0.00,0.00,0.00
03/21/2011,22:00,45.68,45.90,45.55,45.80,5344660,0,0.00,0.00,0.00
03/22/2011,22:00,46.03,46.04,45.60,45.74,5410468,0,49.79,43.40,46.59
